country,price,iso3
Angola,0.59,
Argentina,1.02,
Australia,2.15,
Austria,1.38,
Azerbaijan,0.51,
Bahrain,0.56,
Bangladesh,0.32,
Belarus,0.63,
Belgium,1.22,
Bolivia,0.72,
Brazil,0.6,
Bulgaria,0.86,
Burma,0.36,
Canada,1.47,
Chile,1.09,
China,0.37,
Colombia,0.68,
Costa Rica,1.11,
Cyprus,1.13,
Czechia,1.1,
Denmark,2.36,
Domin. Rep.,0.6,
Ecuador,0.59,
Egypt,0.21,
Finland,2.44,
France,1.36,
Germany,1.22,
Ghana,0.69,
Greece,1.01,
Guatemala,0.85,
Hong Kong,1.15,
Hungary,0.94,
India,0.32,
Indonesia,0.37,
Iran,0.21,
Ireland,2.01,
Israel,2.28,
Italy,1.52,
Ivory Coast,0.45,
Japan,1.03,
Jordan,0.55,
Kazakhstan,0.97,
Kenya,0.49,
Kuwait,0.36,
Latvia,1.16,
Lithuania,1.06,
Luxembourg,1.22,
Macao,1.12,
Malaysia,0.54,
Mexico,0.63,
Morocco,0.6,
Netherlands,1.44,
New Zealand,2.12,
Nigeria,0.39,
Norway,2.49,
Oman,0.82,
Pakistan,0.28,
Panama,0.79,
Paraguay,0.73,
Peru,0.71,
Philippines,0.4,
Poland,0.93,
Portugal,1.07,
Puerto Rico,1.29,
Qatar,0.88,
Romania,0.84,
Russia,0.76,
Saudi Arabia,1.04,
Serbia,0.7,
Singapore,1.09,
Slovakia,0.95,
Slovenia,0.84,
South Africa,0.93,
South Korea,1.39,
Spain,1.09,
Sri Lanka,0.37,
Sweden,1.8,
Switzerland,1.44,
Tanzania,0.43,
Thailand,0.56,
Tunisia,0.4,
Turkey,0.47,
UA Emirates,0.95,
Uganda,0.78,
UK,1.92,
Ukraine,0.49,
Uruguay,1.25,
USA,0.76,
Uzbekistan,0.44,
Vietnam,0.38,
Zambia,0.69,